# userId: recommendations in (itemId, ranking score) pairs, where a correct recommendation is denoted by symbol *.
196: (283, 8.430149), (25*, 8.289475), (169, 7.7619677), (762*, 7.543177), (151, 7.4230695), (50, 7.419761), (168, 7.28918), (127, 7.2093635), (275, 7.0178866), (408, 7.010394)
186: (294*, 8.335629), (682, 6.6082735), (748, 6.3317857), (323, 6.1772633), (326, 6.1641083), (245, 6.1247964), (328, 6.0801606), (286, 5.887793), (260, 5.8844295), (50, 5.7890463)
22: (403*, 5.9419456), (94*, 5.5876956), (288, 5.467602), (210*, 5.3370056), (790, 5.2934685), (22, 5.2655106), (82, 5.045946), (183, 4.994577), (232, 4.953619), (56, 4.952467)
244: (121*, 6.5248413), (274, 5.435338), (202, 5.2534275), (25, 5.2129564), (405, 5.1523676), (288, 5.1327405), (709, 5.0746913), (403, 5.054981), (127, 5.0237703), (42*, 5.0133605)
166: (294*, 11.603535), (259, 10.451954), (245, 10.315808), (682, 10.30936), (304, 10.261799), (302, 10.145868), (327, 10.124586), (289, 9.983699), (301, 9.95768), (879, 9.8267765)
298: (318*, 9.860778), (258, 9.690541), (117, 9.659021), (96, 9.172488), (7, 9.0701475), (257*, 8.903863), (64, 8.81913), (176, 8.7807), (222, 8.60656), (216, 8.555318)
115: (127*, 7.5821095), (56*, 6.8538594), (475*, 6.6491737), (276, 6.5764675), (23*, 6.4839125), (50*, 6.459643), (179, 6.4424534), (275, 6.310778), (515, 6.230096), (173, 6.0767937)
253: (185, 8.896313), (174, 8.715691), (56*, 8.548046), (7, 8.316422), (181, 8.102366), (191, 8.082065), (258, 7.9891806), (172, 7.949731), (480, 7.9294705), (205, 7.841114)
305: (381, 6.047103), (582*, 5.776921), (275*, 5.6929235), (137, 5.521607), (531, 5.496541), (288, 5.4397793), (1*, 5.4068813), (294, 5.3914475), (8, 5.3723598), (64*, 5.2540283)
6: (23*, 6.5829544), (514*, 6.405584), (603, 6.326836), (527*, 6.2272363), (275*, 6.1871033), (174*, 6.145958), (203*, 6.1329374), (286*, 5.9840865), (654, 5.965108), (269*, 5.84727)
62: (275*, 6.206539), (274, 6.020709), (7*, 5.493161), (100*, 5.414656), (202, 5.3686724), (118*, 5.3510466), (88, 5.309655), (762, 5.1528344), (186, 5.139451), (515, 5.0692983)
286: (294, 4.1269636), (748, 3.4158688), (245, 3.3958154), (313, 3.207104), (111*, 3.1590447), (302, 3.1461313), (259, 3.1438594), (327, 3.0845208), (286, 3.0496182), (333, 2.91309)
200: (144, 5.5966787), (71*, 5.4879303), (596*, 5.3450522), (181, 5.3399754), (257, 5.3333116), (97, 5.2643747), (403, 5.1977434), (8*, 5.1598654), (926, 5.14406), (252, 5.1347647)
210: (8, 7.6236353), (82, 7.1545033), (153*, 7.113511), (588, 7.0968394), (196, 7.07165), (194, 7.064046), (144, 7.0152817), (121*, 6.9595513), (318, 6.9282107), (191, 6.907238)
224: (288, 4.2207246), (7, 4.206893), (210, 3.9440885), (739, 3.9050412), (259, 3.8822381), (515, 3.817049), (300*, 3.7888594), (302, 3.7236536), (71, 3.682004), (510, 3.6753807)
303: (176*, 3.7459464), (173*, 3.7156734), (403*, 3.4849358), (210*, 3.4163659), (48, 3.2254822), (196, 3.2091107), (181*, 3.1976194), (183*, 3.1763203), (169, 3.1078312), (175, 3.0898535)
122: (97, 7.925224), (210, 6.947398), (216, 6.8024135), (514, 6.7485023), (213, 6.709985), (527, 6.5091953), (523, 6.470185), (202, 6.4032044), (208, 6.3877454), (381, 6.382406)
194: (97*, 6.668325), (210*, 6.3259993), (69*, 6.1345677), (96, 6.0858006), (176, 5.838591), (318*, 5.8075504), (655*, 5.66559), (135*, 5.4578333), (11, 5.4541326), (234*, 5.4043627)
291: (68, 4.834009), (233, 4.477108), (559, 4.4622746), (568*, 3.999165), (123*, 3.8943725), (452, 3.8329341), (27*, 3.7881172), (147*, 3.780486), (186, 3.7376792), (232*, 3.7350748)
234: (275, 4.3750196), (23*, 4.20237), (216*, 4.1021156), (197*, 4.0746603), (357*, 4.02681), (194*, 4.020115), (514, 4.0007033), (427*, 3.9597626), (97*, 3.9555326), (203, 3.8510752)
119: (1, 5.2687664), (15, 5.19284), (127, 5.1256404), (118, 5.0584855), (151, 4.930629), (258*, 4.4604745), (845*, 4.427294), (252*, 4.232486), (411, 4.2017336), (476, 4.19576)
167: (484, 6.5601563), (427, 6.1809063), (135, 6.179958), (507, 5.6195326), (131, 5.329027), (474, 5.1374493), (463, 5.133836), (520, 5.1321425), (496, 4.9278255), (479, 4.926138)
299: (709, 4.8021736), (269, 4.7955027), (923, 4.7279563), (736, 4.241108), (191*, 4.21901), (660, 4.207621), (529*, 4.1034856), (100*, 4.0167108), (531*, 3.9946585), (707, 3.9805918)
308: (174*, 7.0730324), (176*, 6.1089244), (238*, 5.99332), (514*, 5.734835), (173, 5.7098083), (496*, 5.662939), (185*, 5.568305), (69*, 5.315004), (357*, 5.2737436), (188, 5.163896)
95: (50*, 6.939687), (132*, 6.5150194), (8*, 6.417866), (56, 6.2891436), (222, 6.1797547), (187, 6.1314077), (603, 6.00886), (194*, 5.969515), (568*, 5.9692245), (153*, 5.9481506)
38: (227, 6.044037), (380, 6.0292573), (172, 5.7193565), (588*, 5.5626774), (95*, 5.5446353), (82*, 5.366133), (222, 5.3660426), (294*, 5.3489165), (449, 5.338015), (229, 5.2651176)
102: (50*, 7.666215), (174*, 7.392763), (121*, 7.173157), (183*, 6.9393353), (22, 6.877817), (127*, 6.553353), (423, 6.4900846), (117*, 6.4574637), (250, 6.3292937), (97, 6.2754188)
