# userId: recommendations in (itemId, ranking score) pairs, where a correct recommendation is denoted by symbol *.
196: (50, 6.5131283), (181, 6.5127096), (100, 6.487721), (69, 6.3754625), (174, 6.2536654), (204, 6.2388515), (191, 6.237509), (121, 6.237308), (1, 6.214778), (318, 6.129475)
186: (181, 6.1168556), (117*, 5.9597473), (1, 5.959151), (7, 5.8830743), (222, 5.8646564), (323, 5.838906), (748, 5.6627192), (273, 5.6403522), (50, 5.5172796), (678, 5.477795)
22: (69, 6.3465495), (56, 6.3395963), (98, 6.2454467), (228*, 6.2176332), (204*, 6.1449246), (568*, 6.026779), (423, 5.9554706), (22, 5.922172), (28, 5.8158517), (191, 5.7428737)
244: (181*, 5.429704), (79, 5.375663), (405, 5.3236027), (25, 5.310243), (56*, 5.2417593), (273, 5.2417192), (257, 5.2208304), (216*, 5.2069583), (202, 5.1277413), (282, 5.122905)
166: (288*, 10.693449), (313*, 10.439631), (294*, 10.270958), (690, 9.755713), (323*, 9.607232), (302, 9.50904), (327, 9.495628), (321, 9.492237), (269, 9.462846), (333, 9.264818)
298: (100, 9.763971), (56, 9.275611), (79*, 8.81388), (191, 8.736135), (318*, 8.6027565), (222, 8.590323), (294*, 8.502006), (288, 8.500303), (258, 8.429518), (173, 8.407785)
115: (50*, 7.874967), (1, 7.73909), (56*, 7.67834), (144, 7.578225), (515, 7.5687213), (173, 7.3198767), (191, 7.297755), (14, 7.2878313), (318, 7.2701635), (294, 7.267649)
253: (174, 8.943701), (181, 8.18116), (69, 7.67739), (100*, 7.677286), (210*, 7.6542697), (172, 7.639835), (288, 7.629654), (234*, 7.598005), (258, 7.4691286), (176, 7.465893)
305: (98*, 6.377465), (603, 6.0508204), (8, 5.884276), (211, 5.8449035), (523, 5.8336725), (182, 5.803753), (195*, 5.7745104), (496, 5.769646), (657, 5.760743), (435, 5.7463527)
6: (181, 8.479774), (234, 7.7147446), (172, 7.7047696), (286*, 7.6967964), (210, 7.597229), (204*, 7.5898585), (176, 7.478248), (603, 7.404121), (97, 7.347261), (144, 7.346497)
62: (174*, 7.621302), (50*, 6.8088827), (144*, 6.694653), (79, 6.641502), (228*, 6.587074), (117*, 6.5575895), (12*, 6.553906), (22*, 6.5343575), (1*, 6.5205636), (195*, 6.507958)
286: (294, 5.097587), (174*, 4.8676887), (79, 4.8195972), (117*, 4.778402), (98, 4.6889396), (181*, 4.6600695), (393*, 4.557604), (323, 4.440504), (28, 4.4353395), (216*, 4.382922)
200: (222*, 7.6491485), (181, 7.416156), (50*, 7.283483), (79*, 7.214215), (100, 7.142599), (273, 6.794969), (294*, 6.712382), (151*, 6.6499705), (288*, 6.6460934), (97, 6.6415935)
210: (98*, 8.203957), (79*, 7.8067427), (100, 7.7164316), (22, 7.553613), (294, 7.536507), (144, 7.465615), (191, 7.453274), (288, 7.403855), (318, 7.3102617), (121*, 7.303491)
224: (288, 5.345718), (181, 5.3300037), (50, 5.1787233), (100, 5.0179625), (1, 5.0106883), (121, 4.9875383), (174, 4.9540753), (257, 4.8506913), (69*, 4.8485017), (117, 4.8037214)
303: (118*, 5.8217506), (273*, 5.7856746), (210*, 5.72275), (151*, 5.690329), (69*, 5.6662674), (89, 5.5427327), (294*, 5.2575994), (127*, 5.1768804), (265, 5.112933), (196, 5.101162)
122: (216, 5.9491315), (204, 5.738404), (238, 5.6417327), (56, 5.537052), (98, 5.522003), (79, 5.515637), (514, 5.487168), (22, 5.462066), (196, 5.452069), (132, 5.431861)
194: (69*, 6.555108), (22*, 6.1608715), (186*, 6.099751), (176, 6.095321), (180*, 6.084291), (238*, 5.976149), (144*, 5.9440317), (96, 5.9393034), (202*, 5.9329853), (121*, 5.8934436)
291: (111, 4.7894206), (742*, 4.599714), (222, 4.5034127), (405*, 4.3990483), (546*, 4.3705235), (815, 4.250248), (28*, 4.2396297), (257, 4.1963124), (825*, 4.156572), (24*, 4.1404614)
234: (484*, 4.788723), (514, 4.721828), (195*, 4.6989636), (194*, 4.63752), (183*, 4.6248517), (238*, 4.5462465), (176*, 4.5286236), (423*, 4.4999127), (659*, 4.466166), (513*, 4.401557)
119: (181*, 6.5300264), (1, 6.374973), (294*, 6.2294126), (257*, 5.9413915), (151, 5.9218855), (273, 5.888592), (742*, 5.7205944), (286*, 5.6841865), (111*, 5.629729), (118, 5.5811467)
167: (191, 4.314833), (792, 3.8747602), (180, 3.8482792), (143, 3.7455556), (204*, 3.744899), (427, 3.7214193), (238*, 3.64938), (640, 3.6460505), (69, 3.6347191), (382, 3.5257335)
299: (269, 6.4112844), (258, 6.093255), (69, 5.8669887), (172, 5.7423944), (22, 5.6817675), (427, 5.5813465), (268, 5.51858), (79, 5.4357786), (8, 5.418563), (321, 5.413646)
308: (204*, 6.5294905), (474, 6.487151), (173, 6.3580875), (97*, 6.2738967), (228, 6.1181827), (179*, 6.0643077), (222, 6.053034), (200*, 5.994936), (215*, 5.9863634), (8*, 5.9069915)
95: (56, 7.2548666), (172*, 6.7849803), (216*, 6.7310095), (191*, 6.6619473), (28*, 6.598485), (318, 6.295463), (12, 6.1760893), (96*, 6.164495), (188*, 6.1529083), (203*, 6.0056367)
38: (98, 5.2585936), (56, 5.082042), (183, 5.0131183), (559, 4.9490805), (53, 4.8956227), (443, 4.819167), (665, 4.6918163), (219, 4.588097), (739, 4.5775414), (184, 4.5257607)
102: (174*, 6.7268353), (98*, 6.724712), (28, 6.4765606), (313*, 6.43528), (69, 6.2518334), (210*, 6.2467422), (22, 6.169078), (71, 6.168749), (216, 6.123148), (97, 6.096403)
63: (255*, 8.15811), (9, 8.12588), (100*, 8.062762), (117, 8.004108), (289*, 7.9280667), (275, 7.9274735), (127, 7.861173), (268*, 7.85564), (323*, 7.845308), (245, 7.8025374)
160: (181, 8.660689), (258, 7.715479), (117*, 7.6780105), (127*, 7.5326457), (7*, 7.5185556), (121, 7.4979496), (286, 7.398415), (14, 7.338685), (222, 7.333029), (69, 7.310034)
50: (1, 9.00367), (294, 8.841806), (50, 8.795205), (269, 8.788465), (255, 8.69015), (282, 8.6475), (258, 8.603228), (237, 8.579617), (127, 8.515663), (121, 8.471466)
301: (50*, 8.110788), (56*, 8.082939), (69*, 8.031058), (172*, 7.7687917), (195*, 7.405975), (12*, 7.3154383), (186*, 7.159226), (48, 7.0506525), (135, 7.02389), (257, 6.9813232)
225: (174, 7.5187035), (529, 7.4341865), (483, 7.419933), (382, 7.0921636), (191, 7.0275116), (484, 7.0154147), (511, 7.0044827), (474, 6.93722), (318, 6.9359274), (513, 6.8795724)
290: (56, 8.884383), (100, 8.608091), (79, 8.397213), (173, 8.346221), (186, 8.149841), (195, 8.109861), (12, 7.9954896), (127, 7.972647), (273, 7.9672184), (204*, 7.963293)
97: (56, 8.946544), (22, 8.520565), (204*, 8.51671), (210, 8.480479), (173*, 8.361002), (69*, 8.356128), (195*, 8.320165), (12, 8.1457405), (181, 8.141234), (11, 7.981538)
157: (100*, 9.044781), (7, 8.410543), (9, 8.28452), (591, 8.1412115), (237, 8.07617), (121, 8.003598), (125, 7.8872347), (181, 7.8675895), (117*, 7.8541255), (275, 7.8276415)
181: (682*, 3.9428153), (934*, 3.7276278), (1011*, 3.5063875), (924*, 3.4025936), (293, 3.3596766), (255, 3.3186018), (295, 3.2412534), (689, 3.207398), (248, 3.147621), (1022*, 3.1385381)
278: (269*, 10.737876), (300, 10.583779), (286*, 10.202357), (328, 9.818562), (690, 9.72666), (326, 9.651151), (268, 9.628556), (333, 9.606238), (322, 9.512258), (748, 9.500508)
276: (210*, 5.650335), (12*, 5.588077), (22*, 5.540452), (195*, 5.5139713), (191, 5.4113326), (168*, 5.164934), (651, 5.154483), (82*, 5.0822988), (117*, 5.057109), (196*, 5.040202)
7: (98*, 6.4721856), (210*, 5.6885443), (173*, 5.670233), (191*, 5.656646), (135*, 5.6520786), (357*, 5.650726), (196*, 5.3632145), (427*, 5.2632565), (483*, 5.232568), (181*, 5.217965)
10: (98*, 7.4408274), (318, 7.4271507), (427, 7.2216287), (514, 7.2037683), (480*, 7.159854), (511*, 6.819732), (204, 6.6460524), (479*, 6.551223), (172, 6.540481), (86, 6.5372133)
284: (288, 10.774589), (294, 10.411553), (321, 9.953664), (292, 9.914517), (259*, 9.691822), (682*, 9.608408), (327, 9.595109), (301*, 9.542297), (748*, 9.521608), (323, 9.4609)
201: (185*, 5.612442), (56*, 5.57322), (172*, 5.409066), (176*, 5.3150406), (195*, 5.2078075), (200*, 5.1917176), (69*, 5.118535), (357*, 5.08791), (191*, 5.0712547), (135, 4.9891157)
287: (294*, 9.441315), (258, 9.311864), (288, 9.012462), (286, 8.784185), (25, 8.713916), (121*, 8.602305), (300, 8.457222), (174, 8.428939), (127, 8.299398), (15, 8.288543)
