# userId: recommendations in (itemId, ranking score) pairs, where a correct recommendation is denoted by symbol *.
196: (275, 0.3815266), (269*, 0.36994237), (283, 0.34369448), (14, 0.3256012), (268, 0.319391), (137, 0.2876382), (88, 0.27296087), (216, 0.26669595), (168, 0.2640978), (208, 0.26349297)
186: (245, 0.6515858), (328, 0.6407443), (748, 0.63527024), (300*, 0.5850427), (273, 0.56425595), (282, 0.55719686), (323, 0.552748), (685, 0.5057705), (471, 0.49801096), (591*, 0.49727237)
22: (82, 0.7620077), (183, 0.7594389), (22, 0.7116819), (56, 0.7099827), (144*, 0.6721768), (98, 0.6538347), (95, 0.62877345), (403*, 0.609581), (69, 0.58936805), (28, 0.5779393)
244: (202, 1.0062128), (25, 0.97105074), (237*, 0.8062819), (66*, 0.7972075), (210, 0.79569995), (402, 0.7848733), (12, 0.77907604), (98, 0.7788542), (4, 0.77489525), (973, 0.77336353)
166: (748*, 0.5140096), (333, 0.44770375), (245, 0.4403659), (302, 0.43242386), (269, 0.42244938), (751*, 0.399472), (271, 0.37482148), (272, 0.37204987), (322*, 0.37083864), (690, 0.36830676)
298: (1*, 0.8402917), (100, 0.80036324), (98*, 0.7851338), (15, 0.7590942), (222, 0.6939971), (79*, 0.6770267), (117, 0.67141277), (135, 0.6693518), (132*, 0.66912186), (435*, 0.64760226)
115: (50*, 0.7807685), (9*, 0.7480952), (276, 0.690227), (182, 0.655978), (288, 0.6460733), (79*, 0.6044976), (318, 0.5771275), (1, 0.534787), (200, 0.53251714), (156, 0.5316305)
253: (181, 0.8291565), (174, 0.8142517), (258, 0.74078214), (172, 0.71914214), (98*, 0.7133378), (195, 0.6835256), (69, 0.63717085), (176, 0.63532084), (222*, 0.6317275), (210*, 0.61756146)
305: (302*, 0.868951), (83*, 0.83399737), (313, 0.82779837), (209*, 0.80264825), (79*, 0.7868181), (216*, 0.77834904), (7*, 0.76640534), (22, 0.76188004), (96*, 0.7448573), (462*, 0.7364492)
6: (603, 1.1227328), (483*, 1.0804359), (654, 0.90105385), (191*, 0.89202464), (181, 0.89065367), (318*, 0.8510409), (657, 0.7929851), (172, 0.7619727), (133*, 0.7276475), (179, 0.7267896)
62: (121*, 1.0653049), (181*, 0.964897), (25, 0.92099166), (258*, 0.80676717), (173*, 0.74993867), (405*, 0.74339074), (117*, 0.72951055), (13*, 0.72697073), (588, 0.69966), (213*, 0.69341165)
286: (95*, 0.92585886), (222, 0.8986645), (71, 0.8604714), (238, 0.85404485), (82*, 0.8308156), (69, 0.8010527), (283, 0.7948337), (28, 0.77877784), (973, 0.77668047), (153*, 0.7563193)
200: (181, 0.95721734), (118*, 0.9163773), (403, 0.85041785), (432*, 0.8346439), (117*, 0.8274522), (176*, 0.78804), (210*, 0.7708811), (423*, 0.76543385), (566, 0.72436017), (418, 0.70009375)
210: (204*, 1.0302261), (194, 0.8718077), (202*, 0.8568357), (496, 0.77131534), (82, 0.7151418), (22, 0.7046968), (143, 0.6916913), (183, 0.6655908), (191, 0.6595321), (318, 0.65414345)
224: (9, 0.7843757), (471, 0.77476305), (322*, 0.7165105), (300*, 0.7135923), (15*, 0.67909884), (566, 0.6642149), (51*, 0.663117), (356*, 0.660833), (288, 0.64149314), (333*, 0.60680866)
303: (100*, 1.0520924), (367*, 0.95582193), (973, 0.9133882), (218*, 0.8917802), (763*, 0.8615808), (732, 0.85560554), (508*, 0.8393516), (67*, 0.8277717), (276*, 0.8268797), (235*, 0.8215271)
122: (52, 0.41426268), (170, 0.40754822), (213, 0.40436798), (215*, 0.37964848), (509*, 0.37253368), (58, 0.37066403), (241, 0.3646147), (531, 0.3643312), (747, 0.35767788), (462, 0.35082412)
194: (174*, 1.0345148), (196*, 0.93238884), (194*, 0.8954464), (88*, 0.88990384), (22*, 0.88038445), (132*, 0.87617946), (181*, 0.87354875), (28*, 0.8636934), (82*, 0.8609031), (385*, 0.82877076)
291: (68, 0.915227), (240*, 0.83946186), (742*, 0.82992756), (29, 0.7856767), (559, 0.7676901), (72*, 0.76699543), (42, 0.76536524), (233, 0.76312953), (55*, 0.7499558), (38*, 0.74016696)
234: (185*, 1.0018795), (443*, 0.94120413), (483*, 0.93781185), (514, 0.92008185), (234*, 0.9056918), (496*, 0.8985001), (191*, 0.88546973), (498*, 0.8843297), (216*, 0.87816066), (200*, 0.860272)
119: (294*, 1.063261), (50*, 0.9615085), (1, 0.96060014), (222*, 0.93434286), (181*, 0.9137091), (748, 0.8539241), (151, 0.7885408), (118, 0.7681057), (111*, 0.6913052), (127, 0.66671705)
167: (208, 0.29956535), (151, 0.28590196), (135, 0.2720078), (168, 0.26728484), (175, 0.26373404), (209, 0.26185682), (153, 0.2534805), (154, 0.2504738), (179, 0.24969679), (382, 0.24879564)
299: (269, 1.14365), (268, 1.0184141), (100*, 0.99606824), (204*, 0.8928164), (70*, 0.88995326), (475*, 0.874968), (382, 0.8678475), (191*, 0.83893025), (116, 0.8311955), (25*, 0.8292718)
308: (603*, 0.94160324), (86, 0.9298507), (132*, 0.87774915), (174*, 0.87235826), (100*, 0.83510745), (175*, 0.8288497), (462, 0.82160246), (498*, 0.8090772), (168*, 0.8061336), (186*, 0.7974425)
95: (210*, 0.9889064), (143*, 0.8990086), (202*, 0.87981164), (195*, 0.86531645), (56, 0.84338284), (176*, 0.8338315), (230, 0.8309667), (402*, 0.8062866), (229*, 0.7758314), (973, 0.76627207)
38: (164, 0.7064882), (402*, 0.66896313), (219, 0.6598941), (559, 0.65424204), (294*, 0.6282691), (443, 0.6161145), (739, 0.57211494), (72, 0.56874526), (143, 0.56647956), (323, 0.55918735)
102: (96*, 0.89531094), (121*, 0.8649535), (228*, 0.8560937), (22, 0.847919), (323, 0.83965045), (227*, 0.79109657), (56*, 0.78565556), (678, 0.7659443), (71, 0.76214474), (550*, 0.72201806)
63: (100*, 0.90541655), (258*, 0.7694562), (275, 0.7668605), (7, 0.7008597), (25*, 0.63825524), (151, 0.6382241), (9, 0.6209892), (117, 0.6004998), (285*, 0.58109856), (127, 0.5590215)
160: (129*, 0.7597348), (235, 0.6996327), (298, 0.65835726), (156, 0.64144564), (246, 0.63865983), (410*, 0.62666386), (134, 0.62420875), (181, 0.6182392), (12, 0.60998863), (919, 0.60058814)
50: (7, 0.3145219), (276*, 0.29999402), (302, 0.2943353), (273, 0.2683467), (129, 0.24939145), (137, 0.24758887), (293, 0.24525964), (93, 0.24000767), (285, 0.23732716), (246*, 0.2335846)
301: (96*, 1.0228367), (79*, 0.9988385), (210*, 0.9961758), (204*, 0.96177006), (176*, 0.9388637), (228*, 0.9167307), (1*, 0.8437537), (258*, 0.82528466), (229*, 0.78920406), (28*, 0.78749084)
225: (483, 0.29168785), (357, 0.28815135), (174, 0.27825627), (127, 0.27333945), (435, 0.26838717), (134, 0.2627451), (50, 0.26088038), (205, 0.25851154), (187, 0.2524837), (300, 0.2476551)
290: (1*, 0.9841885), (99*, 0.88763475), (95*, 0.83079267), (294, 0.8130628), (195, 0.7968738), (173, 0.7645573), (183*, 0.73461926), (132*, 0.729727), (96, 0.7120202), (79, 0.70550305)
97: (172*, 0.7476708), (181, 0.66378605), (168*, 0.64482194), (127, 0.61559314), (483, 0.604161), (210, 0.5951892), (176, 0.5936035), (56, 0.58761406), (474, 0.54372025), (22, 0.50108993)
157: (237, 0.54413074), (257, 0.5228324), (151, 0.48878747), (121, 0.488237), (7, 0.47760436), (50*, 0.4430843), (222, 0.43242273), (294, 0.42711708), (258*, 0.42535475), (15, 0.42450556)
181: (322*, 1.0703127), (289*, 0.9617483), (257, 0.88495153), (25*, 0.8651635), (293, 0.864799), (742*, 0.86447275), (325*, 0.8481355), (307*, 0.8343841), (258*, 0.8284301), (121*, 0.81223136)
278: (300, 0.47028685), (286*, 0.4694012), (269*, 0.41003442), (328, 0.37025356), (333, 0.33207786), (272, 0.3215009), (748, 0.31749842), (340, 0.29519388), (289, 0.28912336), (268, 0.2890592)
276: (403*, 1.0675613), (226*, 1.060177), (973, 0.93454003), (202*, 0.93347627), (233*, 0.92892575), (11*, 0.92545044), (210*, 0.9233524), (173*, 0.8977571), (2*, 0.8955455), (33*, 0.86255866)
7: (234*, 1.0386806), (97*, 0.9474721), (215*, 0.9121304), (197*, 0.90230703), (183*, 0.89196825), (176*, 0.8812354), (218, 0.877685), (660*, 0.8674152), (88, 0.861678), (973, 0.8297692)
10: (174*, 0.9784381), (197*, 0.94236815), (514, 0.92108524), (187, 0.911506), (427, 0.76376444), (318, 0.76065266), (523, 0.75771433), (211*, 0.7325017), (79, 0.7124716), (204, 0.702897)
284: (294, 0.85415274), (288, 0.7329048), (245, 0.707043), (323, 0.69256794), (327, 0.6683292), (326, 0.6607382), (310*, 0.6348355), (271, 0.6055108), (316, 0.5731542), (331, 0.5661303)
201: (56*, 1.2119943), (12*, 1.1834548), (218*, 1.0042453), (182*, 0.8968102), (127*, 0.8928377), (22*, 0.8712519), (179*, 0.8556575), (181*, 0.8450464), (89*, 0.81789076), (176*, 0.81533515)
287: (100*, 0.66432446), (475, 0.5412663), (7, 0.51328397), (1*, 0.51144373), (282, 0.50389385), (181*, 0.46646088), (508, 0.46132985), (273, 0.44853812), (405, 0.44568217), (127, 0.43396103)
246: (217, 0.8471849), (95*, 0.807718), (7, 0.747837), (218, 0.74249214), (168, 0.72726244), (228*, 0.70341367), (71, 0.6992153), (161*, 0.69150287), (53, 0.683718), (62, 0.68116057)
242: (100, 0.1903224), (7, 0.15718459), (151, 0.14218025), (25, 0.13958894), (286, 0.13943426), (257, 0.1369927), (13, 0.13675453), (275*, 0.13664594), (288, 0.13217261), (276, 0.13210946)
249: (100*, 1.2476317), (475, 1.065434), (50*, 1.0534023), (181*, 1.0152413), (12*, 0.97165704), (222*, 0.8888382), (96*, 0.8067728), (127, 0.77552754), (288, 0.7538868), (276, 0.72506756)
99: (117*, 0.9571733), (100*, 0.88107914), (282*, 0.868691), (257, 0.742556), (181*, 0.7419438), (286, 0.7358667), (273*, 0.7071621), (298, 0.68537635), (222, 0.6815317), (333, 0.6682254)
