# userId: recommendations in (itemId, ranking score) pairs, where a correct recommendation is denoted by symbol *.
196: (275, 0.4123916), (14, 0.34607956), (283, 0.33267957), (475, 0.32958427), (137, 0.31604204), (268, 0.31308377), (301, 0.30769908), (313, 0.3060029), (83, 0.30083427), (272, 0.27907953)
186: (748, 0.75118726), (323, 0.6945564), (300*, 0.6442374), (328, 0.642072), (678, 0.6347535), (258*, 0.6336449), (245, 0.6289741), (597, 0.5756507), (282, 0.5092207), (685, 0.50064355)
22: (50*, 1.0154047), (228*, 0.89958906), (174*, 0.8958656), (82, 0.80978703), (229*, 0.80248356), (183, 0.7540862), (385*, 0.7133269), (1, 0.67794204), (449*, 0.66206545), (22, 0.6476375)
244: (25, 0.9067764), (202, 0.8641022), (98, 0.8629976), (423, 0.85991347), (12, 0.8509842), (402, 0.83843166), (4, 0.8317807), (11, 0.8114773), (64*, 0.80805767), (173*, 0.7848911)
166: (294*, 0.56066424), (328*, 0.5218948), (326, 0.41897345), (307, 0.4063963), (333, 0.40246695), (245, 0.39809033), (302, 0.39290285), (269, 0.37872773), (678, 0.3530598), (332, 0.34837088)
298: (174*, 0.9483973), (135, 0.8203439), (423*, 0.7918414), (1*, 0.774518), (191, 0.7718332), (98*, 0.7461207), (173, 0.7329537), (427*, 0.70441186), (97*, 0.703186), (121*, 0.6756669)
115: (100*, 0.9274173), (12*, 0.6561573), (1, 0.5847709), (195, 0.56703365), (288, 0.54629374), (222, 0.5454176), (318, 0.5335838), (276, 0.52108604), (258, 0.51402766), (182, 0.5117721)
253: (174, 0.8570949), (172, 0.81779075), (204, 0.7541285), (181, 0.73009574), (357, 0.7088416), (69, 0.6968789), (423, 0.64833486), (195, 0.62664634), (191, 0.5869963), (117*, 0.56465256)
305: (100*, 0.9554672), (181*, 0.8296224), (197*, 0.7938732), (238*, 0.78751993), (258*, 0.7003802), (655*, 0.6917916), (483*, 0.690515), (210*, 0.68600756), (186*, 0.6841259), (209*, 0.6834382)
6: (50*, 1.2055984), (181, 0.9147226), (603, 0.8969704), (514*, 0.8102561), (1*, 0.79933316), (172, 0.7536583), (654, 0.74192935), (705, 0.69225734), (23*, 0.6517143), (222, 0.6488146)
62: (237*, 0.9235038), (234, 0.87349963), (25, 0.816648), (117*, 0.80600137), (79, 0.78633326), (22*, 0.7774659), (222*, 0.77410424), (655*, 0.75462335), (11, 0.7256553), (200, 0.72193885)
