# userId: recommendations in (itemId, ranking score) pairs, where a correct recommendation is denoted by symbol *.
196: (70*, 0.2822464), (216, 0.26134786), (275, 0.2569314), (168, 0.24785171), (83, 0.24751265), (116*, 0.23381878), (268, 0.23220108), (732, 0.22990398), (88, 0.22787037), (154, 0.2268427)
186: (328, 0.63268185), (748, 0.62655884), (282, 0.5895596), (471, 0.58486295), (245, 0.5842352), (323, 0.56637156), (597, 0.49514055), (273, 0.49038002), (678, 0.47803465), (50, 0.4693376)
22: (172*, 0.783859), (96*, 0.7429342), (82, 0.7414142), (22, 0.6538636), (79*, 0.65229815), (222*, 0.60630184), (550*, 0.59366566), (1, 0.5827766), (183, 0.581865), (62*, 0.57952833)
244: (25, 0.84760934), (70*, 0.8463537), (237*, 0.838538), (69*, 0.821971), (216*, 0.8189373), (202, 0.76236653), (88*, 0.76115984), (218, 0.7248026), (402, 0.72077495), (98, 0.71528417)
166: (300*, 0.547309), (313*, 0.44105113), (333, 0.39146793), (269, 0.38797966), (302, 0.3560077), (326, 0.34487218), (245, 0.33155146), (271, 0.32055905), (289, 0.309228), (301, 0.3061406)
298: (50*, 0.99799526), (15, 0.7530753), (100, 0.73084116), (173, 0.7291177), (194*, 0.72251594), (216, 0.71272326), (133*, 0.69850445), (56, 0.695302), (191, 0.6705348), (135, 0.6673221)
115: (50*, 0.69158775), (12*, 0.6224645), (182, 0.5933102), (276, 0.57935774), (9*, 0.5307438), (183*, 0.5187253), (121*, 0.50148875), (180, 0.49259615), (318, 0.49069703), (129, 0.47580174)
253: (174, 0.6758435), (181, 0.6690355), (172, 0.6311777), (56*, 0.60643137), (22*, 0.60210925), (1*, 0.5980522), (300*, 0.57887447), (195, 0.5385928), (204, 0.53576225), (64*, 0.5318103)
305: (174*, 1.0086294), (100*, 1.0040531), (12*, 0.8695221), (269*, 0.8526297), (22, 0.802639), (238*, 0.77263224), (28, 0.767136), (175*, 0.73744154), (182, 0.7050193), (179*, 0.69519925)
6: (603, 1.0463712), (181, 0.9961854), (134*, 0.9690929), (705, 0.90318274), (172, 0.86992425), (654, 0.82785165), (210, 0.76874834), (659, 0.722345), (56*, 0.7213637), (190, 0.7151342)
62: (181*, 1.0410649), (237*, 0.907766), (168*, 0.9036826), (25, 0.8966901), (174*, 0.84727293), (70*, 0.8378515), (127*, 0.7611799), (186, 0.72401077), (202, 0.7141857), (234, 0.7096274)
286: (235*, 0.9274654), (94, 0.91760373), (222, 0.9150311), (216*, 0.9056292), (88*, 0.8990895), (286, 0.8499823), (50*, 0.80698776), (109, 0.78488857), (14*, 0.7678964), (210*, 0.75990695)
200: (181, 1.0834733), (405*, 1.0221801), (118*, 0.9334676), (95*, 0.87163746), (294*, 0.85908955), (393*, 0.8449971), (176*, 0.7659713), (1028*, 0.7319408), (69*, 0.7299749), (227*, 0.71582913)
210: (172*, 0.7813672), (69*, 0.72492766), (168*, 0.70607704), (173*, 0.7053495), (196, 0.66090775), (186*, 0.6565623), (82, 0.65190053), (79*, 0.641873), (22, 0.6253972), (228, 0.6227804)
224: (288, 0.82377964), (471, 0.65695417), (735, 0.6300406), (313*, 0.608448), (9, 0.59357864), (333*, 0.57720965), (66, 0.55385214), (58, 0.5503753), (699*, 0.52181077), (692, 0.52058434)
303: (405*, 1.1256944), (117*, 1.0779333), (4*, 1.0656557), (546*, 1.0415032), (250*, 1.0177773), (403*, 1.0048594), (100*, 0.9978864), (367*, 0.9968823), (24*, 0.96529496), (566, 0.94525695)
122: (318, 0.34932846), (97, 0.3330505), (196, 0.32764128), (655, 0.32655093), (216, 0.31978694), (204, 0.31442696), (58, 0.3132474), (64, 0.3100799), (12, 0.29538265), (98, 0.2938702)
194: (204*, 1.1801054), (191*, 1.0081335), (173*, 0.998854), (97*, 0.9651414), (64*, 0.9642329), (197*, 0.9261289), (143*, 0.92352957), (181*, 0.918113), (393*, 0.89998806), (176, 0.8632096)
291: (121*, 1.0580891), (7*, 0.94225186), (597*, 0.9053763), (68, 0.891643), (53*, 0.85626835), (217, 0.8257973), (226*, 0.82181543), (282*, 0.8090479), (200*, 0.7977236), (628, 0.78167087)
234: (514, 1.3026816), (197*, 1.2601514), (480*, 1.1135845), (427*, 1.0834471), (479*, 1.0823286), (661*, 1.0810361), (357*, 1.0518829), (474*, 1.032837), (484*, 1.0141394), (432*, 1.012041)
119: (1, 0.89434695), (288*, 0.80147845), (121*, 0.8004363), (748, 0.7355416), (127, 0.7345341), (405*, 0.7306128), (111*, 0.65991807), (302, 0.655538), (298*, 0.64010435), (273, 0.62898165)
167: (132, 0.21185848), (70, 0.2083948), (432, 0.20167589), (419, 0.1962523), (451, 0.19414946), (393, 0.19331257), (208, 0.1904546), (211, 0.18982495), (191, 0.18945809), (143, 0.18783408)
299: (269, 1.2331642), (50*, 1.0981551), (258, 1.0346642), (268, 0.98177713), (116, 0.95295393), (13*, 0.9233576), (124, 0.83340555), (151*, 0.78961307), (170*, 0.78658354), (175*, 0.77782166)
308: (357*, 1.0559666), (50*, 1.0515625), (183*, 1.0333014), (427*, 1.0253891), (474, 1.0194447), (423*, 1.0189346), (100*, 1.0145209), (194*, 0.9899901), (527, 0.98647064), (89*, 0.96339375)
95: (588*, 1.0030631), (71*, 0.9983005), (168*, 0.95380634), (202*, 0.86791545), (403*, 0.8511098), (222, 0.8414427), (56, 0.83952755), (196*, 0.8313464), (97*, 0.8161588), (154, 0.79906136)
