# userId: recommendations in (itemId, ranking score) pairs, where a correct recommendation is denoted by symbol *.
196: (792, 3.6984503), (1009, 3.4629414), (275, 3.3069808), (111*, 3.1936843), (710, 3.182033), (88, 3.016205), (294, 3.0013025), (154, 2.9794607), (40, 2.9672606), (204, 2.9422762)
186: (323, 2.4235132), (181, 2.344095), (678, 2.2385542), (322*, 2.0933027), (879, 2.0673947), (307, 2.0586417), (273, 1.9710531), (1025, 1.9171839), (328, 1.9123077), (264, 1.8991113)
22: (229*, 2.1076627), (168*, 2.0981755), (82, 2.0398555), (385*, 1.8469602), (154*, 1.7456402), (380, 1.7316254), (56, 1.6544935), (196, 1.6507795), (1, 1.6499543), (450, 1.5844805)
244: (25, 2.0132604), (98, 1.7346144), (202, 1.7320862), (70*, 1.6851914), (210, 1.6130553), (655*, 1.5736609), (692, 1.5719814), (56*, 1.5568339), (94, 1.5343839), (546, 1.5302758)
166: (258*, 3.6634476), (313*, 3.3991663), (271, 3.379889), (288*, 3.338594), (328*, 3.096739), (307, 3.004408), (259, 2.9428155), (892, 2.8460984), (678, 2.8421488), (326, 2.7567062)
298: (15, 2.7548103), (100, 2.4483614), (173, 2.2770417), (237*, 2.262076), (496*, 2.2301228), (210*, 2.1254272), (191, 2.0715375), (222, 2.055913), (588*, 2.0513582), (111, 2.0427039)
115: (156, 2.674085), (129, 2.6144238), (182, 2.547452), (276, 2.4817266), (64, 2.382207), (79*, 2.3703196), (150, 2.224661), (200, 2.180238), (288, 2.1434407), (22*, 2.084961)
253: (181, 2.3481379), (258, 2.056387), (174, 2.005643), (172, 1.9678693), (79*, 1.9249958), (176, 1.8226981), (69, 1.8019927), (144, 1.7404126), (195, 1.6350502), (257, 1.6060835)
305: (238*, 2.2046921), (194, 2.0954168), (100*, 2.05164), (435, 2.051246), (50*, 2.0053918), (197*, 1.9358699), (191*, 1.8892016), (514, 1.8681614), (523, 1.8514502), (28, 1.787582)
6: (657, 1.9281917), (513*, 1.7981609), (654, 1.7233965), (484*, 1.6659981), (98*, 1.6419442), (187*, 1.6300119), (69*, 1.6183102), (523*, 1.5861961), (175*, 1.5696989), (603, 1.5627147)
62: (83*, 1.5682293), (25, 1.4437072), (127*, 1.4356153), (64*, 1.4316287), (79, 1.3973396), (161, 1.3737326), (194, 1.3506584), (471, 1.3095903), (515, 1.2610171), (7*, 1.2559689)
286: (294, 1.9345357), (204*, 1.568187), (210*, 1.5150813), (762*, 1.5049948), (238, 1.4839156), (269*, 1.4790713), (433*, 1.4712945), (475*, 1.4148549), (151*, 1.4111208), (69, 1.4108135)
200: (82*, 2.171991), (405*, 2.1265028), (588*, 2.0784593), (181, 1.9815804), (71*, 1.9618812), (432*, 1.9477613), (50*, 1.8118428), (195*, 1.7791892), (403, 1.7088233), (96*, 1.7056428)
210: (202*, 2.4970562), (739, 2.2798867), (111, 2.2285044), (66, 2.1440117), (151, 2.0915356), (69*, 2.0644999), (196, 2.0345144), (275, 2.012195), (100, 1.9150804), (294, 1.878631)
224: (64, 1.9564312), (304, 1.864641), (111, 1.7796321), (71, 1.7738953), (724*, 1.678235), (216, 1.6549689), (245*, 1.631381), (325*, 1.6161351), (566, 1.6119964), (684, 1.574482)
