# userId: recommendations in (itemId, ranking score) pairs, where a correct recommendation is denoted by symbol *.
196: (65, 6.8425922), (168, 6.6408997), (269*, 6.6405344), (189, 6.6217246), (301, 6.6192894), (1160, 6.5173197), (902, 6.4675956), (476, 6.461795), (25*, 6.385035), (72, 5.8670874)
186: (328, 3.747196), (748, 3.3568416), (323, 3.3393297), (678, 3.170864), (245, 3.1131616), (685, 3.03685), (282, 2.8139012), (471, 2.8079371), (331*, 2.7498446), (1, 2.7434473)
22: (82, 2.4113994), (230*, 2.2676494), (257, 1.9403578), (89*, 1.8445337), (588, 1.7563729), (385*, 1.7383733), (380, 1.6901461), (144*, 1.6756934), (56, 1.6503692), (250*, 1.6472353)
244: (202, 1.5513434), (216*, 1.4734317), (1*, 1.4482274), (7*, 1.3886913), (762*, 1.3516244), (11, 1.3201135), (98, 1.317396), (210, 1.3161625), (173*, 1.3105146), (28*, 1.2772026)
166: (300*, 8.726066), (748*, 8.274291), (271, 7.6376405), (259, 7.5203676), (326, 7.3366504), (245, 7.2846503), (333, 7.134609), (879, 7.057344), (289, 7.0513706), (678, 7.002572)
298: (191, 4.371412), (135, 4.3577385), (211*, 4.1532445), (64, 4.0793347), (480, 4.0431767), (520, 3.9403722), (210*, 3.8789482), (498*, 3.7462642), (15, 3.6607869), (56, 3.6412394)
115: (56*, 4.426805), (273*, 4.321901), (182, 3.5733442), (124*, 3.553317), (147, 3.5211535), (129, 3.5189624), (276, 3.387346), (1, 3.1172616), (591, 3.0943024), (544, 3.024522)
253: (174, 4.1017704), (195, 3.3624306), (79*, 3.298344), (172, 3.2648778), (181, 3.1080701), (176, 2.9948719), (204, 2.9721608), (423, 2.7536283), (187, 2.7480297), (144, 2.7217307)
305: (174*, 2.2711217), (179*, 2.1874306), (69*, 2.1670797), (515, 2.1362667), (195*, 2.104163), (222*, 1.9907708), (28, 1.952996), (172*, 1.9437953), (82, 1.8554479), (196*, 1.8524897)
6: (191*, 4.0364146), (181, 3.8315809), (479*, 3.3004677), (283, 3.0789285), (135*, 2.983429), (285*, 2.963672), (116, 2.901404), (205*, 2.8282032), (215, 2.7959452), (603, 2.752931)
62: (1*, 2.116127), (121*, 2.1021497), (202, 2.0261972), (25, 1.9050062), (235*, 1.6361619), (7*, 1.5202892), (732, 1.5194458), (118*, 1.4562571), (169, 1.4448941), (88, 1.4398628)
286: (70*, 1.1230153), (50*, 1.1073735), (222, 1.0632015), (15, 1.0046502), (109, 0.90110254), (117*, 0.89108145), (411*, 0.88701683), (412, 0.8515284), (1028, 0.8454887), (56*, 0.83439815)
200: (121*, 3.3743522), (181, 3.0508378), (50*, 3.0206409), (174*, 2.9416354), (118*, 2.6559076), (685*, 2.4695752), (151*, 2.301799), (195*, 2.2164624), (566, 2.179706), (98*, 2.124446)
210: (153*, 3.823244), (423*, 3.4229677), (194, 3.4001012), (82, 3.3647504), (196, 3.340058), (357*, 3.2670612), (8, 3.1756587), (191, 3.1351886), (66, 3.1308258), (588, 2.741185)
224: (300*, 1.4690415), (275, 1.1848388), (100, 1.1584666), (288, 1.1444997), (111, 1.0603875), (56, 1.0327243), (289, 1.0159727), (315, 1.0132177), (302, 0.97067946), (79, 0.9642712)
303: (98*, 0.67271525), (100*, 0.6466649), (288*, 0.6293497), (151*, 0.5449814), (121*, 0.52107614), (228*, 0.48366994), (28*, 0.46954104), (265, 0.46537998), (82*, 0.44200772), (179*, 0.43424222)
122: (197*, 3.5592833), (88, 3.1254427), (216, 3.1109881), (202, 3.0210328), (58, 2.9657893), (655, 2.9487486), (69*, 2.929916), (381, 2.9037352), (732, 2.8917887), (170, 2.873598)
194: (210*, 3.1176462), (194*, 2.57906), (191*, 2.452558), (96, 2.396284), (176, 2.3274362), (143*, 2.0753026), (419*, 2.05872), (133*, 2.011056), (222*, 2.0016277), (655*, 1.9974273)
291: (7*, 0.77790207), (151*, 0.7486085), (222, 0.6671533), (111, 0.6212633), (230, 0.5995547), (568*, 0.59645045), (763*, 0.5859285), (235*, 0.5834781), (216, 0.5774507), (11*, 0.57685286)
