# userId: recommendations in (itemId, ranking score) pairs, where a correct recommendation is denoted by symbol *.
196: (285*, 3.5880175), (381*, 3.4523203), (792, 3.4201527), (367, 3.3651485), (137, 3.2963438), (191, 3.270537), (204, 3.2512116), (1, 3.2286222), (401, 3.1647434), (208, 3.041733)
186: (678, 2.6418865), (245, 2.2726107), (748, 2.0909033), (323, 2.08705), (328, 2.0542796), (597, 2.022631), (50, 1.9478772), (121*, 1.8175861), (273, 1.7934809), (984, 1.7375607)
22: (210*, 2.3690674), (431*, 2.3637726), (228*, 2.1621573), (1, 2.0982277), (82, 2.039305), (227*, 2.0215507), (174*, 1.9647858), (121*, 1.9034654), (232, 1.863497), (173*, 1.8462753)
244: (405, 2.0577223), (111*, 1.9237261), (237*, 1.8306273), (98, 1.7842482), (7*, 1.7471019), (451*, 1.7381067), (202, 1.7255408), (403, 1.7181523), (423, 1.6923125), (475*, 1.6829916)
166: (258*, 3.5293152), (751*, 3.3113992), (538, 3.212084), (259, 3.1767223), (873, 3.169152), (683, 3.146576), (271, 3.0805047), (682, 3.0471108), (690, 2.9999304), (895, 2.9973593)
298: (133*, 2.4265), (423*, 2.418799), (520, 2.4102602), (480, 2.3562002), (28*, 2.2269716), (191, 2.191498), (204*, 2.1158142), (222, 2.0909278), (88*, 2.0611742), (211*, 2.049463)
115: (137*, 2.4761364), (182, 2.4137702), (200, 2.3267198), (64, 2.3172648), (129, 2.2429185), (181*, 2.2115889), (288, 2.16715), (318, 2.116052), (121*, 2.0752008), (427, 2.0612736)
253: (174, 2.2792819), (98*, 2.1165721), (181, 2.0649047), (172, 1.9087481), (79*, 1.8608184), (204, 1.8496128), (69, 1.8111558), (258, 1.7501048), (288, 1.6681986), (195, 1.6633375)
305: (173*, 1.9141763), (210*, 1.7974979), (86*, 1.7818229), (582*, 1.7063885), (69*, 1.6719244), (180*, 1.6366767), (265, 1.5283324), (531, 1.5239103), (28, 1.5173465), (171*, 1.4578563)
6: (181, 2.2946553), (124*, 2.1838512), (1*, 2.1736689), (479*, 2.140471), (357*, 2.0753946), (705, 1.8484216), (603, 1.8189349), (116, 1.8073735), (172, 1.8072652), (204*, 1.7681757)
62: (174*, 2.0796413), (222*, 1.9510916), (168*, 1.8976105), (98*, 1.8734208), (70*, 1.8388087), (79, 1.7973694), (204*, 1.7875779), (143, 1.7520663), (176*, 1.6885585), (265, 1.6083847)
286: (168*, 1.9832369), (100*, 1.6817024), (69, 1.5882651), (181*, 1.5575542), (238, 1.544545), (208*, 1.5176015), (655*, 1.516518), (186*, 1.4965608), (70*, 1.4532611), (216*, 1.4404525)
200: (181, 2.4931874), (82*, 2.1222303), (1*, 2.0661347), (230*, 2.057118), (22*, 1.995566), (403, 1.9278715), (144, 1.9258955), (229*, 1.9184809), (98*, 1.8595587), (204*, 1.8023943)
