# userId: recommendations in (itemId, ranking score) pairs, where a correct recommendation is denoted by symbol *.
196: (275, 1.3150066), (283, 1.2461213), (70*, 1.2338202), (14, 1.1974379), (83, 1.1642936), (268, 1.1038462), (137, 1.066821), (216, 0.9929408), (100, 0.9108479), (124, 0.8790612)
186: (742*, 1.8915346), (282, 1.8488817), (300*, 1.7966001), (685, 1.7402431), (471, 1.7330761), (597, 1.6853751), (328, 1.651206), (546*, 1.6480498), (125, 1.6288114), (127, 1.5376345)
22: (96*, 3.9085693), (183, 2.858557), (144*, 2.8579488), (230*, 2.7298424), (82, 2.71884), (22, 2.6708884), (250*, 2.4272373), (202*, 2.4163666), (257, 2.3841357), (233*, 2.3635468)
244: (98, 4.6862717), (69*, 3.9423137), (173*, 3.850685), (11, 3.436818), (143, 3.234926), (12, 3.182612), (423, 3.0699291), (132, 3.0666182), (402, 3.019719), (582, 2.9995081)
166: (300*, 2.1984537), (302, 1.5427926), (333, 1.4777081), (272, 1.3617853), (326, 1.3614999), (269, 1.3185432), (307, 1.3073487), (245, 1.1957085), (271, 1.1918243), (690, 1.1540592)
298: (480, 3.3207858), (191, 3.218252), (28*, 3.1386333), (64, 3.1060472), (173, 3.0027862), (135, 2.9495413), (15, 2.8845859), (100, 2.8055155), (216, 2.6744816), (99*, 2.60254)
115: (182, 3.0531375), (64, 2.9801104), (183*, 2.5175824), (156, 2.4802911), (9*, 2.4597018), (273*, 2.3790834), (276, 2.312012), (180, 2.309722), (195, 2.2987144), (318, 2.1538484)
253: (174, 3.6510842), (181, 3.1654098), (69, 3.0382428), (172, 2.993809), (204, 2.939177), (98*, 2.7663372), (357, 2.4031537), (194, 2.3533607), (28, 2.3168175), (423, 2.3002737)
305: (275*, 3.8980122), (174*, 3.8951907), (137, 3.5796869), (168*, 3.4067109), (258*, 3.149027), (175*, 3.0202944), (9, 2.9542737), (124, 2.8175278), (22, 2.741274), (283, 2.7359178)
6: (483*, 4.6617775), (603, 4.6080766), (134*, 4.496506), (427*, 4.018142), (654, 3.9518669), (479*, 3.8517697), (318*, 3.6085906), (657, 3.5993462), (705, 3.4918818), (181, 3.3952057)
62: (1*, 3.8901587), (258*, 3.7692344), (127*, 3.1712503), (79, 3.1200716), (175, 2.999439), (22*, 2.9508297), (216*, 2.9327748), (9*, 2.9137318), (408, 2.7918575), (137, 2.777266)
