# userId: recommendations in (itemId, ranking score) pairs, where a correct recommendation is denoted by symbol *.
196: (111*, 2.599599), (275, 2.3840492), (14, 2.358869), (268, 2.2382777), (381*, 2.1803606), (168, 2.168344), (216, 2.1369681), (283, 2.050918), (294, 1.9904271), (732, 1.9561384)
186: (323, 2.038281), (748, 2.0140145), (678, 1.9593377), (471, 1.9212768), (117*, 1.864333), (328, 1.8458375), (233, 1.7631756), (879, 1.7605934), (282, 1.7604152), (294*, 1.7493695)
22: (161*, 2.2278984), (151, 1.8906034), (232, 1.8483349), (82, 1.8304055), (597, 1.8299302), (450, 1.8219231), (22, 1.810653), (56, 1.8086946), (233*, 1.7935096), (550*, 1.7886379)
244: (210, 1.8766389), (202, 1.8733554), (69*, 1.863527), (98, 1.7514598), (50*, 1.6454566), (25, 1.5855846), (7*, 1.5781275), (423, 1.531247), (405, 1.5235803), (79, 1.4956605)
166: (259, 3.4426389), (271, 3.4198334), (333, 3.3084857), (326, 3.1789756), (316, 3.1205266), (678, 3.07076), (338, 2.956436), (304, 2.904955), (310, 2.9000537), (892, 2.8779104)
298: (172*, 2.469785), (204*, 2.3964384), (15, 2.3205373), (173, 2.1248186), (222, 2.0894012), (98*, 2.0875866), (127*, 2.0829113), (100, 1.9946198), (191, 1.9829586), (132*, 1.9736998)
115: (98*, 2.354993), (156, 2.1167536), (276, 2.057757), (222, 2.015691), (182, 1.9858764), (79*, 1.9274731), (195, 1.8786244), (118, 1.8362161), (483, 1.7964162), (64, 1.7947751)
253: (174, 2.2410595), (181, 2.1796627), (172, 2.097116), (176, 1.9368345), (195, 1.9183553), (69, 1.8485488), (183*, 1.8352505), (204, 1.8129481), (318*, 1.7955178), (22*, 1.7942239)
305: (127*, 1.7223818), (83*, 1.6863192), (22, 1.6737541), (64*, 1.5821962), (182, 1.5806652), (514, 1.5403069), (603, 1.517854), (28, 1.5098997), (475*, 1.474747), (198*, 1.4374824)
6: (174*, 2.2198672), (318*, 2.1674364), (137*, 2.0154362), (179, 1.9611751), (134*, 1.9188007), (483*, 1.8851383), (181, 1.8763577), (172, 1.8311454), (285*, 1.7732838), (603, 1.7675197)
62: (79, 1.7732697), (118*, 1.6901461), (202, 1.6447562), (186, 1.6374329), (11, 1.6323056), (265, 1.5435346), (423*, 1.5348213), (235*, 1.4853188), (70*, 1.4804727), (25, 1.4231205)
286: (294, 1.6479025), (69, 1.5516121), (98, 1.4752488), (237*, 1.471134), (238, 1.4591407), (186*, 1.4367392), (274*, 1.4054834), (8, 1.3852911), (222, 1.3523738), (28, 1.3480966)
200: (181, 2.4217482), (50*, 2.157401), (230*, 2.1480794), (117*, 2.1128736), (144, 1.8775661), (99*, 1.7530187), (98*, 1.7349768), (265*, 1.7198454), (28*, 1.6951132), (403, 1.6841075)
210: (168*, 2.3735702), (196, 2.1633651), (318, 2.1487408), (50*, 2.1236727), (82, 2.120227), (71, 2.093037), (143, 1.9853694), (95, 1.9793723), (432, 1.9588073), (588, 1.9421264)
224: (300*, 1.9503225), (237*, 1.8301095), (471, 1.5291984), (88, 1.477925), (216, 1.4556192), (127, 1.3877645), (100, 1.3695618), (194, 1.3656833), (566, 1.3339316), (255, 1.3304574)
303: (50*, 2.009252), (7*, 1.9541196), (181*, 1.8300713), (1*, 1.6509953), (288*, 1.561614), (118*, 1.3896499), (11*, 1.331089), (64*, 1.297168), (172*, 1.2747719), (276*, 1.2505474)
122: (56, 2.0946057), (523, 2.0002046), (462, 1.9624714), (531, 1.8519297), (509*, 1.828715), (213, 1.8161541), (170, 1.7967273), (514, 1.7633235), (194, 1.7586344), (88, 1.7427598)
194: (202*, 2.0448954), (69*, 1.9589914), (216*, 1.9586256), (194*, 1.886478), (79*, 1.8277197), (423*, 1.8243408), (211*, 1.7972552), (161*, 1.5973103), (64*, 1.5896759), (191*, 1.548155)
291: (118*, 1.9269408), (11*, 1.623409), (559, 1.579659), (204*, 1.5412707), (176, 1.5234607), (273*, 1.4419488), (217, 1.4310086), (406, 1.4027425), (447, 1.3845153), (1*, 1.3740165)
234: (514, 1.6789588), (357*, 1.6137272), (132*, 1.3948226), (133*, 1.3331163), (202*, 1.3255954), (153*, 1.2733867), (275, 1.2494748), (435*, 1.2088288), (203, 1.1680332), (9*, 1.1626244)
119: (7*, 1.8692656), (237*, 1.8456397), (118, 1.7931057), (1, 1.7406075), (127, 1.7235246), (748, 1.575427), (173, 1.567452), (276*, 1.5583576), (151, 1.5155593), (515, 1.5152457)
167: (474, 1.8992522), (238*, 1.8364155), (168, 1.7733737), (179, 1.7377545), (208, 1.6523687), (423, 1.6489676), (209, 1.638947), (151, 1.638723), (175, 1.534236), (514, 1.5306067)
299: (70*, 1.6493118), (222*, 1.6312785), (238*, 1.5686926), (357, 1.5217156), (56*, 1.4540559), (180, 1.446306), (382, 1.4172444), (8, 1.3863143), (663, 1.3757755), (276*, 1.3644466)
308: (195*, 1.7680401), (474, 1.7450614), (23*, 1.6630763), (172*, 1.6542326), (7*, 1.5845467), (173, 1.55972), (603*, 1.527061), (582*, 1.5262119), (96*, 1.5132817), (527, 1.503099)
95: (96*, 2.11401), (230, 1.9315487), (161*, 1.9140022), (202*, 1.8066083), (56, 1.7648011), (88*, 1.6961168), (168*, 1.6892442), (222, 1.6610073), (71*, 1.5674132), (95*, 1.4998876)
38: (172, 2.3502917), (71*, 2.2223127), (95*, 2.1193967), (98, 2.066354), (143, 2.0172374), (1091, 1.8982162), (204, 1.8413401), (121, 1.6914077), (568, 1.6849422), (443, 1.6440222)
102: (385*, 2.3976967), (227*, 2.387598), (50*, 2.280892), (173*, 2.013996), (22, 1.9235184), (183*, 1.8949169), (231*, 1.8833206), (265*, 1.818345), (29*, 1.7405657), (550*, 1.7084762)
63: (275, 2.3448415), (268*, 2.245352), (9, 2.2446716), (475*, 2.193442), (7, 2.1830268), (125, 2.0831282), (319, 2.06649), (117, 1.9697766), (845, 1.9670436), (304, 1.9649452)
160: (222, 2.406898), (475*, 2.2903178), (121, 2.187512), (12, 2.002355), (919, 1.7892817), (235, 1.7375169), (474*, 1.717814), (742, 1.6272315), (591, 1.5806946), (56*, 1.5537131)
50: (129, 3.1131043), (508*, 2.8648105), (150, 2.8170736), (285, 2.813716), (100*, 2.7537484), (7, 2.6899686), (293, 2.639628), (221, 2.553174), (93, 2.5416403), (991, 2.5388975)
301: (50*, 2.7310324), (172*, 2.3739588), (234, 1.97892), (186*, 1.94902), (405*, 1.858963), (117*, 1.8547252), (449, 1.6730983), (97*, 1.6332098), (95*, 1.6236534), (435, 1.5942622)
225: (347, 2.6939206), (318, 2.649539), (483, 2.5724804), (197, 2.5447168), (132, 2.544187), (316, 2.4910855), (498, 2.4387982), (97, 2.4253848), (661, 2.3219523), (315, 2.283863)
290: (423*, 2.5834029), (195, 2.37073), (151*, 2.3337035), (405*, 2.3187382), (96, 2.2584577), (393*, 2.2367716), (71*, 2.2212644), (79, 2.1679614), (173, 2.1510713), (132*, 1.989517)
97: (168*, 2.6705503), (474, 2.66797), (209, 2.4933202), (588, 2.4691737), (238, 2.416373), (514, 2.3835053), (496*, 2.3672533), (222*, 2.3309062), (197*, 2.321207), (151, 2.3006334)
157: (257, 2.750503), (222, 2.4722326), (181, 2.3497698), (275, 2.3013992), (14, 2.2131999), (1*, 2.190099), (246, 2.1475234), (294, 2.118662), (100*, 2.068787), (813, 2.0060818)
181: (294*, 1.912523), (325*, 1.9016697), (293, 1.7278807), (597*, 1.6322415), (1277*, 1.6304879), (126*, 1.625873), (287*, 1.5972797), (410*, 1.5715506), (276*, 1.5664775), (292*, 1.561285)
278: (301*, 2.8965118), (302*, 2.8143764), (328, 2.5515113), (690, 2.5309784), (50, 2.4910989), (300, 2.4810193), (303, 2.4779449), (354, 2.4221334), (316, 2.4074843), (172, 2.3697302)
276: (288*, 2.2681115), (181*, 1.9685135), (96*, 1.9509537), (68*, 1.5734941), (405*, 1.559631), (568*, 1.5361962), (100*, 1.4834782), (559*, 1.460131), (218*, 1.4225094), (232*, 1.4190851)
7: (98*, 1.8307223), (96*, 1.8015354), (56*, 1.799888), (234*, 1.7709984), (265*, 1.5495791), (479*, 1.5205235), (143*, 1.5201417), (419*, 1.4854432), (202*, 1.4796513), (222, 1.4572067)
10: (514, 2.631267), (603*, 2.1368854), (427, 2.0261455), (318, 1.967141), (209, 1.8236763), (134*, 1.769532), (517, 1.7563007), (180*, 1.7533286), (211*, 1.7266394), (423, 1.6077013)
284: (269*, 3.028621), (338, 2.7980473), (242, 2.5884442), (288, 2.5567672), (271, 2.5193563), (321, 2.507778), (326, 2.4664822), (312, 2.462542), (316, 2.3816445), (327, 2.3649378)
201: (100*, 2.125929), (11*, 1.8584971), (96*, 1.7170775), (175*, 1.6605059), (273*, 1.6597615), (156*, 1.5535897), (168, 1.4895724), (89*, 1.4037298), (196*, 1.2810977), (4*, 1.2771302)
287: (288, 2.991582), (7, 2.7459946), (121*, 2.4345279), (222*, 2.3329377), (258, 2.2449336), (273, 2.0703793), (237*, 2.0273366), (405, 1.9589214), (151, 1.9139544), (475, 1.8517783)
246: (405, 1.8850739), (98*, 1.7862396), (82*, 1.7572087), (174*, 1.7567073), (7, 1.7051871), (222, 1.6988978), (79, 1.6554339), (403*, 1.6427064), (168, 1.5807601), (546, 1.5513818)
242: (319, 3.001058), (13, 2.7565515), (288, 2.4798353), (321, 2.4419534), (14, 2.4395123), (285, 2.4271173), (151, 2.3859303), (125, 2.379934), (289, 2.3715467), (748, 2.2919009)
249: (56*, 2.4012642), (127, 2.3395853), (288, 2.08706), (273*, 2.0296848), (151, 2.0177362), (276, 1.9524949), (475, 1.8758304), (286, 1.741862), (144*, 1.6745675), (204, 1.6279279)
99: (294*, 2.6627467), (7*, 2.4096975), (121*, 2.0895412), (257, 2.0765398), (117*, 1.9609692), (301, 1.941054), (111*, 1.8573029), (181*, 1.8229973), (298, 1.7919766), (286, 1.6670123)
178: (98*, 2.3860269), (117*, 2.2991986), (172*, 2.1264787), (7*, 2.1137183), (1*, 2.0558357), (210*, 1.8764323), (204*, 1.7757127), (252, 1.7435083), (255*, 1.6653621), (151, 1.5984284)
251: (174, 2.2601974), (151*, 2.1855187), (127, 2.0860605), (235, 2.0208576), (276, 2.0201197), (274, 2.0018103), (15*, 1.9417378), (173, 1.8920103), (9, 1.8898667), (255, 1.8896043)
81: (15, 2.6271977), (117, 2.6133804), (151*, 2.5575385), (9, 2.479809), (125, 2.4518619), (508, 2.3832211), (763, 2.3774154), (546, 2.333385), (122, 2.3181257), (762, 2.3130965)
260: (299, 3.5429907), (879, 3.4034214), (348, 3.357801), (331, 3.2551637), (680, 3.250977), (292, 3.233654), (339, 3.1936936), (245, 3.1924446), (327, 3.160796), (302, 3.1245525)
25: (174*, 2.660101), (172, 2.3820271), (423, 2.0908258), (222*, 2.0372567), (28, 2.0182488), (191, 1.9642539), (143*, 1.9220912), (496, 1.9130635), (588, 1.9090563), (89, 1.8985966)
59: (423*, 2.007953), (69*, 1.8826971), (222, 1.7969899), (318*, 1.7467613), (64*, 1.6832474), (196*, 1.6749644), (176*, 1.673062), (7*, 1.6416923), (211*, 1.5862291), (197*, 1.5241824)
72: (234*, 2.4088242), (183, 2.2770047), (385, 2.2675257), (483, 2.2029135), (88, 1.955539), (216, 1.8716571), (546, 1.870046), (357*, 1.8139523), (211, 1.8129604), (510, 1.8096203)
87: (202*, 2.1511827), (161*, 2.1014469), (70*, 1.9421675), (265, 1.907122), (226, 1.8984613), (69, 1.8858469), (168, 1.8673685), (739, 1.7811296), (173, 1.6800334), (655, 1.6266729)
42: (121*, 2.69524), (393, 2.3091435), (174*, 2.112332), (117, 2.0656908), (71*, 2.0118477), (56, 1.9649633), (196*, 1.919147), (318*, 1.905205), (471*, 1.8985735), (210*, 1.8951615)
