# userId: recommendations in (itemId, ranking score) pairs, where a correct recommendation is denoted by symbol *.
196: (735, 0.066713855), (1074, 0.0488328), (83, 0.048020173), (684, 0.044523824), (180, 0.039401114), (42, 0.03920401), (652, 0.038977075), (157, 0.038778152), (313, 0.038775418), (710, 0.037918787)
186: (226*, 0.5953134), (628, 0.5918605), (735, 0.5626423), (313, 0.55314094), (282, 0.54683566), (356*, 0.47150618), (125, 0.44094446), (521, 0.43737835), (276, 0.43088952), (157, 0.42426023)
22: (628, 0.41088414), (541, 0.34740832), (342, 0.3343561), (373, 0.3026983), (420, 0.2993729), (924, 0.29419902), (391, 0.29364356), (356, 0.29225597), (470, 0.28602898), (633, 0.2579087)
244: (83, 2.5907197), (684, 2.197984), (170, 2.096215), (1118*, 1.9671203), (470, 1.8481584), (157*, 1.6224009), (159, 1.5161802), (116, 1.5149211), (90*, 1.5006671), (223, 1.4594216)
166: (300*, 0.11140961), (276, 0.1010499), (282, 0.08253237), (125, 0.07251118), (91, 0.070123576), (239, 0.06542847), (651, 0.06377872), (87, 0.06302804), (435, 0.062523305), (203, 0.061742414)
298: (735, 0.36113456), (45, 0.30535817), (1135, 0.26773217), (637, 0.2543382), (420, 0.24993645), (607, 0.24632196), (636, 0.24462487), (722, 0.23484738), (606, 0.22908233), (928, 0.22008987)
115: (31, 0.3070847), (825, 0.26799482), (521, 0.24986109), (633, 0.2345164), (226, 0.23320135), (124*, 0.23027341), (924, 0.22565217), (356, 0.2191322), (276, 0.21415175), (157, 0.19631898)
253: (313, 1.7796645), (276, 1.2537004), (435, 1.1855685), (124, 1.0275949), (582, 0.97736037), (651, 0.96296275), (684, 0.84001255), (521, 0.73718286), (473, 0.7325913), (657, 0.70308644)
305: (735*, 1.48811), (528*, 1.3341024), (116, 1.3186725), (124, 1.2653815), (521, 1.1907043), (527*, 1.1821496), (582*, 1.1568468), (276, 1.0943245), (702, 1.0245728), (283, 1.0044576)
6: (521*, 1.9649808), (157, 1.7656721), (45, 1.6278135), (1121, 1.609062), (582, 1.5765129), (136*, 1.569571), (657, 1.5393729), (300, 1.5364352), (647, 1.5295259), (414, 1.4959385)
62: (42, 2.7731357), (735, 2.3387115), (223, 1.9543452), (283*, 1.7361317), (313, 1.7113653), (470, 1.6287179), (282, 1.3640662), (101, 1.343481), (300, 1.3420818), (124, 1.3083179)
286: (313, 0.10232199), (735, 0.071100876), (722, 0.06799672), (236, 0.06573207), (928, 0.06464105), (124, 0.06439414), (373, 0.06181779), (391, 0.059069514), (45, 0.058984745), (541, 0.058232468)
200: (31, 2.2774491), (521, 2.0400417), (628, 2.0347126), (300, 1.9835417), (157, 1.939549), (684, 1.892277), (435, 1.8271644), (159, 1.4090489), (83, 1.3865228), (356, 1.3573345)
